Read_ID,Length,GC_Content,Average_Quality
SRR390728.115,36,50.0,24.47222222222222
SRR390728.116,36,44.44444444444444,24.305555555555557
SRR390728.117,36,63.888888888888886,24.666666666666668
SRR390728.118,36,33.33333333333333,23.86111111111111
SRR390728.119,36,61.111111111111114,24.13888888888889
SRR390728.120,36,41.66666666666667,24.86111111111111
SRR390728.121,36,69.44444444444444,24.75
SRR390728.122,36,63.888888888888886,24.75
SRR390728.123,36,44.44444444444444,24.583333333333332
SRR390728.124,36,44.44444444444444,24.47222222222222
SRR390728.125,36,36.11111111111111,24.25
SRR390728.126,36,30.555555555555557,24.333333333333332
SRR390728.127,36,44.44444444444444,23.72222222222222
SRR390728.128,36,55.55555555555556,23.555555555555557
SRR390728.129,36,52.77777777777778,24.72222222222222
SRR390728.130,36,50.0,24.833333333333332
SRR390728.131,36,58.333333333333336,24.47222222222222
SRR390728.132,36,25.0,20.88888888888889
SRR390728.133,36,50.0,24.583333333333332
SRR390728.134,36,52.77777777777778,24.555555555555557
SRR390728.135,36,75.0,19.27777777777778
SRR390728.136,36,2.7777777777777777,24.583333333333332
SRR390728.137,36,50.0,24.36111111111111
SRR390728.138,36,72.22222222222221,18.416666666666668
SRR390728.139,36,52.77777777777778,23.916666666666668
SRR390728.140,36,36.11111111111111,24.055555555555557
SRR390728.141,36,50.0,24.166666666666668
SRR390728.142,36,47.22222222222222,24.055555555555557
SRR390728.143,36,33.33333333333333,24.61111111111111
SRR390728.144,36,41.66666666666667,24.916666666666668
SRR390728.145,36,33.33333333333333,24.305555555555557
SRR390728.146,36,61.111111111111114,24.86111111111111
SRR390728.147,36,44.44444444444444,24.166666666666668
SRR390728.148,36,25.0,24.97222222222222
SRR390728.149,36,63.888888888888886,24.77777777777778
SRR390728.150,36,52.77777777777778,24.055555555555557
SRR390728.151,36,52.77777777777778,23.444444444444443
SRR390728.152,36,66.66666666666666,22.38888888888889
SRR390728.153,36,38.88888888888889,23.166666666666668
SRR390728.154,36,41.66666666666667,24.63888888888889
SRR390728.155,36,41.66666666666667,22.52777777777778
SRR390728.156,36,44.44444444444444,24.75
SRR390728.157,36,38.88888888888889,24.333333333333332
SRR390728.158,36,38.88888888888889,23.22222222222222
SRR390728.159,36,41.66666666666667,24.11111111111111
SRR390728.160,36,55.55555555555556,24.77777777777778
SRR390728.161,36,61.111111111111114,24.86111111111111
SRR390728.162,36,47.22222222222222,24.083333333333332
SRR390728.163,36,75.0,24.75
SRR390728.164,36,36.11111111111111,24.75
SRR390728.165,36,47.22222222222222,23.583333333333332
SRR390728.166,36,63.888888888888886,22.47222222222222
SRR390728.167,36,36.11111111111111,21.444444444444443
SRR390728.168,36,36.11111111111111,22.0
SRR390728.169,36,66.66666666666666,24.5
SRR390728.170,36,83.33333333333334,21.944444444444443
SRR390728.171,36,80.55555555555556,24.02777777777778
SRR390728.172,36,25.0,24.833333333333332
SRR390728.173,36,25.0,24.166666666666668
SRR390728.174,36,22.22222222222222,21.666666666666668
SRR390728.175,36,27.77777777777778,24.25
SRR390728.176,36,55.55555555555556,24.694444444444443
SRR390728.177,36,50.0,24.833333333333332
SRR390728.178,36,50.0,24.72222222222222
SRR390728.179,36,44.44444444444444,24.27777777777778
SRR390728.180,36,69.44444444444444,24.72222222222222
SRR390728.181,36,19.444444444444446,22.194444444444443
SRR390728.182,36,19.444444444444446,21.36111111111111
SRR390728.183,36,44.44444444444444,24.416666666666668
SRR390728.184,36,44.44444444444444,24.555555555555557
SRR390728.185,36,63.888888888888886,24.805555555555557
SRR390728.186,36,63.888888888888886,24.055555555555557
SRR390728.187,36,27.77777777777778,24.805555555555557
SRR390728.188,36,25.0,24.61111111111111
SRR390728.189,36,38.88888888888889,24.805555555555557
SRR390728.190,36,61.111111111111114,24.77777777777778
